Last,First,Filename,Day,Type,Convention,Source,URL
Messina,Jim,dnc.messina.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-jim-messina-campaign-manager-obama-for-america-168866326.html
Wasserman-Schultz,Debbie,dnc.dws.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-debbie-wasserman-schultz-chair-of-the-democratic-national-committee-member-of-the-us-house-of-representatives-florida-168866566.html
Kennedy,Caroline,dnc.kennedycaroline.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-caroline-kennedy-168866316.html
Rogers,James,dnc.rogers.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-james-rogers-168866346.html
Durbin,Dick,dnc.durbin.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-dick-durbin-united-states-senator-illinois-168866306.html
Washington,Kerry,dnc.washington.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-kerry-washington-168866536.html
Baldwin,Tammy,dnc.baldwin.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-tammy-baldwin-candidate-for-us-senate-wisconsin-member-of-the-us-house-of-representatives-wisconsin-168866356.html
Schweitzer,Brian,dnc.schweitzer.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-brian-schweitzer-governor-of-montana-168866456.html
Longoria,Eve,dnc.longoria.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-eva-longoria-168866436.html
Obama,Barack,dnc.obamabarack.txt,Thursday,Speech,DNC,Politico,https://www.politico.com/story/2012/09/barack-obama-dnc-speech-text-080890
Biden,Joe,dnc.bidenjoe.txt,Thursday,Speech,DNC,Politico,https://www.politico.com/story/2012/09/joe-biden-dnc-speech-text-080885
Biden,Jill,dnc.bidenjill.txt,Thursday,Speech,DNC,Politico,https://www.politico.com/story/2012/09/jill-biden-dnc-speech-video-080888
Cleaver,Emanuel,dnc.cleaver.txt,Wednesday,Speech,DNC,Politico,https://www.politico.com/story/2012/09/emanuel-cleaver-dnc-speech-text-080770
Chafee,Lincoln,dnc.chafee.txt,Wednesday,Speech,DNC,Politico,https://www.politico.com/story/2012/09/lincoln-chafee-dnc-speech-text-video-080744
Obama,Michelle,dnc.obamamichelle.txt,Tuesday,Speech,DNC,Politico,https://www.politico.com/story/2012/09/michelle-obama-dnc-speech-text-080712
Sebelius,Kathleen,dnc.sebelius.txt,Tuesday,Speech,DNC,Politico,https://www.politico.com/story/2012/09/kathleen-sebelius-dnc-speech-text-080711
Robinson,Craig,dnc.robinson.txt,Tuesday,Speech,DNC,Politico,https://www.politico.com/story/2012/09/craig-robinson-and-maya-soetoro-ng-dnc-speech-text-080696
Castro,Julian,dnc.castrojulian.txt,Tuesday,Speech,DNC,Politico,https://www.politico.com/story/2012/09/julian-castro-dnc-speech-transcript-text-080691
Castro,Joaquin,dnc.castrojoaquin.txt,Tuesday,Speech,DNC,Politico,https://www.politico.com/story/2012/09/joaquin-castron-dnc-speech-text-080706
Ledbetter,Lilly,dnc.ledbetter.txt,Tuesday,Speech,DNC,Politico,https://www.politico.com/story/2012/09/lilly-ledbetter-dnc-speech-text-080704
Reid,Harry,dnc.reid.txt,Tuesday,Speech,DNC,Politico,https://www.politico.com/story/2012/09/harry-reid-dnc-speech-text-080688
Foxx,Anthony,dnc.foxx.txt,Tuesday,Speech,DNC,Politico,https://www.politico.com/story/2012/09/anthony-foxx-dnc-speech-transcript-080659
Booker,Cory,dnc.booker.txt,Tuesday,Speech,DNC,Politico,https://www.politico.com/story/2012/09/cory-booker-dnc-speech-text-video-080687
Kaine,Tim,dnc.kaine.txt,Tuesday,Speech,DNC,Politico,https://www.politico.com/story/2012/09/time-kaines-dnc-speech-text-080685
Gonzalez,Charles,dnc.gonzalex.txt,Tuesday,Speech,DNC,Politico,https://www.politico.com/story/2012/09/charles-gonzalez-dnc-speech-transcript-080661
Perdue,Bev,dnc.perdue.txt,Tuesday,Speech,DNC,Politico,https://www.politico.com/story/2012/09/gov-bev-perdue-dnc-2012-speech-text-080671
